,Provider.Number,Hospital.Name,Address.1,Address.2,Address.3,City,State,ZIP.Code,County.Name,Phone.Number,Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Footnote...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Footnote...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Hospital.30.Day.Readmission.Rates.from.Pneumonia,Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Footnote...Hospital.30.Day.Readmission.Rates.from.Pneumonia
233,040114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,9601 INTERSTATE 630, EXIT 7,,,LITTLE ROCK,AR,72205,PULASKI,5012022000,14.7,No Different than U.S. National Rate,12.4,17.5,535,,11.1,No Different than U.S. National Rate,9.5,13.1,893,,11.0,No Different than U.S. National Rate,9.3,13.1,712,,19.8,No Different than U.S. National Rate,17.2,22.8,597,,23.0,No Different than U.S. National Rate,20.9,25.5,1109,,18.9,No Different than U.S. National Rate,16.5,21.5,747,
234,040118,NEA BAPTIST MEMORIAL HOSPITAL,3024 STADIUM BOULEVARD,,,JONESBORO,AR,72401,CRAIGHEAD,8709727000,14.5,No Different than U.S. National Rate,11.2,18.5,181,,17.2,Worse than U.S. National Rate,14.0,21.0,316,,11.3,No Different than U.S. National Rate,9.2,13.8,413,,20.1,No Different than U.S. National Rate,16.3,24.6,187,,28.1,No Different than U.S. National Rate,24.3,32.0,399,,17.0,No Different than U.S. National Rate,14.3,20.3,420,
235,040119,WHITE RIVER MEDICAL CENTER,1710 HARRISON STREET,,,BATESVILLE,AR,72503,INDEPENDENCE,8702621200,17.6,No Different than U.S. National Rate,14.3,21.4,261,,12.5,No Different than U.S. National Rate,10.1,15.1,418,,12.1,No Different than U.S. National Rate,10.1,14.4,576,,20.3,No Different than U.S. National Rate,17.1,24.1,263,,28.1,Worse than U.S. National Rate,24.9,31.4,506,,20.9,No Different than U.S. National Rate,18.1,23.7,620,
237,040134,ARKANSAS HEART HOSPITAL,1701 S SHACKLEFORD ROAD,,,LITTLE ROCK,AR,72211,PULASKI,5012197000,11.9,Better than U.S. National Rate,9.4,14.7,486,,13.3,No Different than U.S. National Rate,10.7,16.4,482,,10.4,No Different than U.S. National Rate,7.2,15.0,84,,20.4,No Different than U.S. National Rate,17.8,23.2,645,,26.4,No Different than U.S. National Rate,23.7,29.3,806,,19.8,No Different than U.S. National Rate,15.9,24.2,102,
270,050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,,,HAYWARD,CA,94545,ALAMEDA,5107826200,15.3,No Different than U.S. National Rate,11.9,19.2,124,,10.6,No Different than U.S. National Rate,8.0,13.8,177,,10.3,No Different than U.S. National Rate,7.4,14.3,112,,21.0,No Different than U.S. National Rate,17.1,25.6,96,,27.1,No Different than U.S. National Rate,23.5,31.3,212,,18.2,No Different than U.S. National Rate,14.7,22.6,113,
271,050006,ST JOSEPH HOSPITAL,2700 DOLBEER ST,,,EUREKA,CA,95501,HUMBOLDT,7074458121,18.6,No Different than U.S. National Rate,14.9,22.9,145,,14.4,No Different than U.S. National Rate,11.4,18.4,188,,11.9,No Different than U.S. National Rate,9.1,15.7,188,,15.7,No Different than U.S. National Rate,12.5,19.8,147,,22.5,No Different than U.S. National Rate,18.9,26.6,197,,15.3,No Different than U.S. National Rate,12.4,19.1,187,
272,050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,,,BURLINGAME,CA,94010,SAN MATEO,6506965270,16.0,No Different than U.S. National Rate,12.9,19.8,148,,11.8,No Different than U.S. National Rate,9.5,14.5,375,,10.4,No Different than U.S. National Rate,8.3,12.9,387,,18.2,No Different than U.S. National Rate,14.9,22.1,143,,24.3,No Different than U.S. National Rate,21.3,27.9,428,,19.9,No Different than U.S. National Rate,16.8,23.2,400,
274,050009,QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,,,NAPA,CA,94558,NAPA,7072524411,16.1,No Different than U.S. National Rate,12.9,19.9,180,,11.9,No Different than U.S. National Rate,9.5,14.7,357,,11.1,No Different than U.S. National Rate,8.9,13.9,315,,17.9,No Different than U.S. National Rate,14.7,21.9,185,,23.8,No Different than U.S. National Rate,20.6,27.0,406,,16.3,No Different than U.S. National Rate,13.5,19.4,322,
275,050013,ST HELENA HOSPITAL,10 WOODLAND ROAD,,,SAINT HELENA,CA,94574,NAPA,7079675899,16.6,No Different than U.S. National Rate,12.7,21.6,63,,11.2,No Different than U.S. National Rate,8.4,15.0,143,,9.3,No Different than U.S. National Rate,6.6,12.7,124,,18.6,No Different than U.S. National Rate,14.7,23.3,72,,21.8,No Different than U.S. National Rate,18.4,26.0,191,,19.5,No Different than U.S. National Rate,15.9,23.6,145,
276,050014,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,,,JACKSON,CA,95642,AMADOR,2092237500,16.0,No Different than U.S. National Rate,12.1,20.5,32,,15.8,Worse than U.S. National Rate,12.3,19.7,136,,12.7,No Different than U.S. National Rate,9.5,16.9,168,,Not Available,Number of Cases Too Small,Not Available,Not Available,16,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.3,No Different than U.S. National Rate,19.4,27.9,150,,18.2,No Different than U.S. National Rate,14.7,22.4,169,
277,050016,ARROYO GRANDE COMMUNITY HOSPITAL,345 S HALCYON RD,,,ARROYO GRANDE,CA,93420,SAN LUIS OBISPO,8054894261,17.2,No Different than U.S. National Rate,13.3,21.9,44,,11.8,No Different than U.S. National Rate,8.8,15.9,135,,11.6,No Different than U.S. National Rate,8.6,15.2,152,,19.7,No Different than U.S. National Rate,15.7,24.2,30,,25.1,No Different than U.S. National Rate,20.8,29.7,158,,17.6,No Different than U.S. National Rate,14.3,21.9,158,
278,050017,MERCY GENERAL HOSPITAL,4001 J ST,,,SACRAMENTO,CA,95819,SACRAMENTO,9164534545,15.2,No Different than U.S. National Rate,12.4,18.5,358,,10.8,No Different than U.S. National Rate,8.3,13.7,276,,13.4,No Different than U.S. National Rate,10.7,16.5,282,,19.5,No Different than U.S. National Rate,16.8,22.4,565,,23.1,No Different than U.S. National Rate,20.1,26.7,398,,18.5,No Different than U.S. National Rate,15.6,21.9,298,
279,050018,PACIFIC ALLIANCE MEDICAL CENTER,531 W COLLEGE ST,,,LOS ANGELES,CA,90012,LOS ANGELES,2136248411,13.5,No Different than U.S. National Rate,10.5,17.3,45,,10.2,No Different than U.S. National Rate,8.0,12.7,236,,9.8,No Different than U.S. National Rate,7.3,12.9,127,,19.7,No Different than U.S. National Rate,15.6,24.0,32,,24.5,No Different than U.S. National Rate,21.2,28.2,270,,18.8,No Different than U.S. National Rate,15.4,22.9,124,
280,050022,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,,,RIVERSIDE,CA,92501,RIVERSIDE,9517883000,13.9,No Different than U.S. National Rate,11.2,17.0,249,,10.6,No Different than U.S. National Rate,8.4,13.3,377,,11.9,No Different than U.S. National Rate,9.5,14.7,288,,17.3,No Different than U.S. National Rate,14.7,20.5,333,,24.7,No Different than U.S. National Rate,21.6,27.8,482,,19.4,No Different than U.S. National Rate,16.5,22.8,301,
281,050024,PARADISE VALLEY HOSPITAL,2400 EAST FOURTH STREET,,,NATIONAL CITY,CA,91950,SAN DIEGO,6194704321,14.7,No Different than U.S. National Rate,11.4,18.6,64,,8.3,Better than U.S. National Rate,6.4,10.6,224,,8.7,Better than U.S. National Rate,6.5,11.4,200,,20.4,No Different than U.S. National Rate,16.7,24.7,41,,24.9,No Different than U.S. National Rate,21.5,28.6,272,,18.0,No Different than U.S. National Rate,14.9,21.4,212,
282,050025,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,200 WEST ARBOR DRIVE,,,SAN DIEGO,CA,92103,SAN DIEGO,6195436222,12.5,No Different than U.S. National Rate,9.5,15.9,174,,9.9,No Different than U.S. National Rate,7.7,12.6,225,,9.2,No Different than U.S. National Rate,7.0,12.0,218,,17.4,No Different than U.S. National Rate,14.4,20.8,237,,26.5,No Different than U.S. National Rate,23.0,30.4,276,,20.4,No Different than U.S. National Rate,17.1,24.0,271,
283,050026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,,,LA MESA,CA,91942,SAN DIEGO,6194650711,18.2,No Different than U.S. National Rate,15.2,21.7,310,,15.1,Worse than U.S. National Rate,12.8,17.8,626,,13.0,No Different than U.S. National Rate,10.7,15.5,535,,19.4,No Different than U.S. National Rate,16.4,22.9,284,,26.9,No Different than U.S. National Rate,24.2,29.9,736,,18.8,No Different than U.S. National Rate,16.3,21.5,549,
285,050030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,,,OROVILLE,CA,95966,BUTTE,5305338500,14.7,No Different than U.S. National Rate,11.5,18.4,108,,9.5,No Different than U.S. National Rate,7.6,12.0,325,,8.3,Better than U.S. National Rate,6.6,10.3,410,,21.6,No Different than U.S. National Rate,17.4,26.2,80,,27.4,No Different than U.S. National Rate,24.2,30.7,408,,21.7,No Different than U.S. National Rate,18.5,24.8,432,
286,050036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST BOX 1888,,,BAKERSFIELD,CA,93301,KERN,6613271792,18.7,No Different than U.S. National Rate,14.9,22.8,161,,10.9,No Different than U.S. National Rate,8.4,14.0,272,,12.3,No Different than U.S. National Rate,9.7,15.5,293,,22.4,No Different than U.S. National Rate,18.6,26.7,178,,25.6,No Different than U.S. National Rate,22.5,29.2,328,,20.2,No Different than U.S. National Rate,17.1,23.5,294,
287,050038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,,,SAN JOSE,CA,95128,SANTA CLARA,4088855000,16.0,No Different than U.S. National Rate,12.0,21.2,63,,10.7,No Different than U.S. National Rate,7.9,14.6,122,,13.3,No Different than U.S. National Rate,9.9,18.0,119,,19.1,No Different than U.S. National Rate,15.1,23.7,61,,24.0,No Different than U.S. National Rate,20.1,28.7,156,,16.4,No Different than U.S. National Rate,13.2,20.5,151,
288,050039,ENLOE MEDICAL CENTER,1531 ESPLANADE,,,CHICO,CA,95926,BUTTE,5303327300,14.9,No Different than U.S. National Rate,12.4,18.1,326,,11.5,No Different than U.S. National Rate,9.3,13.9,403,,10.4,No Different than U.S. National Rate,8.6,12.4,678,,19.7,No Different than U.S. National Rate,16.8,23.0,382,,25.9,No Different than U.S. National Rate,22.9,29.3,492,,19.1,No Different than U.S. National Rate,16.7,21.9,692,
290,050042,ST ELIZABETH COMMUNITY HOSPITAL,2550 SISTER MARY COLUMBA DRIVE,,,RED BLUFF,CA,96080,TEHAMA,5305298012,16.9,No Different than U.S. National Rate,13.0,21.5,41,,12.3,No Different than U.S. National Rate,9.3,16.1,131,,11.8,No Different than U.S. National Rate,9.0,15.4,205,,20.1,No Different than U.S. National Rate,16.1,24.8,29,,23.7,No Different than U.S. National Rate,19.7,28.3,167,,16.5,No Different than U.S. National Rate,13.5,20.2,227,
291,050043,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,,,OAKLAND,CA,94609,ALAMEDA,5106554000,12.4,Better than U.S. National Rate,10.0,15.4,242,,9.7,No Different than U.S. National Rate,7.6,12.0,392,,10.9,No Different than U.S. National Rate,8.7,13.4,342,,20.5,No Different than U.S. National Rate,17.5,23.9,292,,24.2,No Different than U.S. National Rate,21.3,27.5,520,,20.6,No Different than U.S. National Rate,17.5,23.8,362,
292,050045,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,,,EL CENTRO,CA,92243,IMPERIAL,7603397100,17.3,No Different than U.S. National Rate,13.5,21.6,136,,13.1,No Different than U.S. National Rate,10.0,16.7,236,,13.5,No Different than U.S. National Rate,10.7,16.7,260,,21.2,No Different than U.S. National Rate,17.0,25.8,77,,22.5,No Different than U.S. National Rate,19.2,26.4,277,,18.5,No Different than U.S. National Rate,15.4,22.1,267,
294,050047,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,2333 BUCHANAN STREET,,,SAN FRANCISCO,CA,94115,SAN FRANCISCO,4156006000,14.4,No Different than U.S. National Rate,11.5,17.9,195,,10.3,No Different than U.S. National Rate,8.2,12.7,429,,9.8,No Different than U.S. National Rate,7.7,12.4,310,,18.4,No Different than U.S. National Rate,15.2,22.0,220,,26.9,No Different than U.S. National Rate,23.7,30.1,546,,18.4,No Different than U.S. National Rate,15.4,21.7,349,
295,050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,,,BANNING,CA,92220,RIVERSIDE,9517692101,15.8,No Different than U.S. National Rate,12.5,19.8,68,,12.9,No Different than U.S. National Rate,9.6,16.9,80,,16.9,Worse than U.S. National Rate,13.7,20.6,193,,19.5,No Different than U.S. National Rate,15.7,24.1,43,,24.2,No Different than U.S. National Rate,20.0,29.1,98,,19.0,No Different than U.S. National Rate,15.7,22.9,197,
296,050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,,,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,16.2,No Different than U.S. National Rate,11.9,21.3,25,,9.5,No Different than U.S. National Rate,6.9,12.9,124,,12.1,No Different than U.S. National Rate,8.8,16.4,125,,Not Available,Number of Cases Too Small,Not Available,Not Available,10,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.5,No Different than U.S. National Rate,19.6,28.3,149,,19.4,No Different than U.S. National Rate,15.7,23.9,129,
297,050056,ANTELOPE VALLEY HOSPITAL MED CENTER,1600 W AVE J,,,LANCASTER,CA,93534,LOS ANGELES,6619495501,14.4,No Different than U.S. National Rate,11.3,18.2,208,,10.5,No Different than U.S. National Rate,8.3,13.2,353,,18.1,Worse than U.S. National Rate,15.2,21.3,363,,20.1,No Different than U.S. National Rate,16.5,24.2,193,,24.9,No Different than U.S. National Rate,21.8,28.2,424,,20.5,No Different than U.S. National Rate,17.2,23.8,316,
298,050057,KAWEAH DELTA MEDICAL CENTER,400 W MINERAL KING AVE,,,VISALIA,CA,93291,TULARE,5596242000,17.5,No Different than U.S. National Rate,14.6,20.9,364,,10.8,No Different than U.S. National Rate,8.7,13.2,550,,13.9,No Different than U.S. National Rate,11.8,16.2,789,,19.7,No Different than U.S. National Rate,16.9,23.0,392,,23.0,No Different than U.S. National Rate,20.4,25.9,603,,17.0,No Different than U.S. National Rate,15.0,19.5,786,
299,050058,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,,,GLENDALE,CA,91204,LOS ANGELES,8185021900,12.9,No Different than U.S. National Rate,10.2,16.1,202,,7.3,Better than U.S. National Rate,5.8,9.2,501,,10.9,No Different than U.S. National Rate,8.7,13.6,343,,21.5,No Different than U.S. National Rate,18.1,25.3,238,,26.6,No Different than U.S. National Rate,23.8,29.4,664,,17.3,No Different than U.S. National Rate,14.6,20.4,333,
300,050060,COMMUNITY REGIONAL MEDICAL CENTER,2823 FRESNO STREET,,,FRESNO,CA,93715,FRESNO,5594596000,16.0,No Different than U.S. National Rate,13.5,19.0,427,,11.1,No Different than U.S. National Rate,9.0,13.9,386,,13.9,No Different than U.S. National Rate,11.3,16.9,413,,19.1,No Different than U.S. National Rate,16.5,22.1,467,,30.2,Worse than U.S. National Rate,26.6,33.5,499,,22.4,Worse than U.S. National Rate,19.0,25.6,444,
301,050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,,,LOS ANGELES,CA,90028,LOS ANGELES,2134133000,15.8,No Different than U.S. National Rate,12.7,19.4,162,,9.5,No Different than U.S. National Rate,7.6,12.0,349,,10.0,No Different than U.S. National Rate,7.9,12.7,256,,20.3,No Different than U.S. National Rate,16.6,24.2,113,,26.9,No Different than U.S. National Rate,23.6,30.2,425,,18.1,No Different than U.S. National Rate,15.1,21.5,258,
302,050067,OAK VALLEY DISTRICT HOSPITAL,350 S OAK AVE,,,OAKDALE,CA,95361,STANISLAUS,2098473011,14.5,No Different than U.S. National Rate,10.6,19.1,25,,12.1,No Different than U.S. National Rate,8.6,17.0,47,,15.0,No Different than U.S. National Rate,11.0,20.7,71,,Not Available,Number of Cases Too Small,Not Available,Not Available,17,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.7,No Different than U.S. National Rate,21.9,32.1,60,,18.5,No Different than U.S. National Rate,14.5,23.5,66,
303,050069,ST JOSEPH HOSPITAL,1100 WEST STEWART DR,,,ORANGE,CA,92868,ORANGE,7146339111,15.6,No Different than U.S. National Rate,12.7,18.9,185,,11.8,No Different than U.S. National Rate,9.6,14.4,390,,14.5,No Different than U.S. National Rate,11.6,17.9,247,,16.6,No Different than U.S. National Rate,13.6,20.3,181,,22.4,No Different than U.S. National Rate,19.5,25.8,460,,16.9,No Different than U.S. National Rate,14.1,20.5,264,
310,050077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,,,SAN DIEGO,CA,92103,SAN DIEGO,6192948111,14.2,No Different than U.S. National Rate,11.7,17.2,303,,9.5,Better than U.S. National Rate,7.8,11.5,588,,10.7,No Different than U.S. National Rate,8.8,12.7,575,,19.0,No Different than U.S. National Rate,15.9,22.4,287,,24.1,No Different than U.S. National Rate,21.4,26.7,722,,19.7,No Different than U.S. National Rate,17.0,22.3,585,
311,050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,,,SAN PEDRO,CA,90732,LOS ANGELES,3108323311,16.4,No Different than U.S. National Rate,12.2,21.4,37,,13.0,No Different than U.S. National Rate,9.8,17.2,130,,12.3,No Different than U.S. National Rate,9.1,16.2,153,,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.4,No Different than U.S. National Rate,19.3,28.0,145,,18.1,No Different than U.S. National Rate,14.8,22.1,150,
312,050079,DOCTORS MEDICAL CENTER-SAN PABLO,2000 VALE RD,,,SAN PABLO,CA,94806,CONTRA COSTA,5109705000,14.2,No Different than U.S. National Rate,11.3,17.7,139,,8.2,Better than U.S. National Rate,6.2,10.6,288,,12.9,No Different than U.S. National Rate,10.1,16.2,206,,18.1,No Different than U.S. National Rate,14.7,22.1,143,,24.1,No Different than U.S. National Rate,21.0,27.7,349,,19.3,No Different than U.S. National Rate,15.9,23.1,201,
313,050082,ST JOHNS REGIONAL MEDICAL CENTER,1600 N ROSE AVE,,,OXNARD,CA,93030,VENTURA,8059882500,13.6,No Different than U.S. National Rate,10.8,16.9,212,,9.2,No Different than U.S. National Rate,7.2,11.6,382,,13.6,No Different than U.S. National Rate,11.3,16.5,412,,18.7,No Different than U.S. National Rate,15.6,22.1,241,,25.7,No Different than U.S. National Rate,22.7,28.9,464,,18.4,No Different than U.S. National Rate,15.7,21.3,401,
314,050084,ST JOSEPHS MED CENTER OF STOCKTON,1800 N CALIFORNIA ST,,,STOCKTON,CA,95204,SAN JOAQUIN,2099432000,16.7,No Different than U.S. National Rate,13.6,20.3,280,,13.0,No Different than U.S. National Rate,10.8,15.5,609,,16.7,Worse than U.S. National Rate,14.4,19.2,619,,21.3,No Different than U.S. National Rate,18.0,25.0,300,,24.1,No Different than U.S. National Rate,21.6,27.0,683,,17.6,No Different than U.S. National Rate,15.3,20.3,595,
315,050089,COMMUNITY HOSPITAL OF SAN BERNARDINO,1805 MEDICAL CENTER DRIVE,,,SAN BERNARDINO,CA,92411,SAN BERNARDINO,9098876333,14.9,No Different than U.S. National Rate,11.6,19.2,29,,10.3,No Different than U.S. National Rate,7.3,14.2,78,,10.5,No Different than U.S. National Rate,7.8,13.8,118,,Not Available,Number of Cases Too Small,Not Available,Not Available,16,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.8,No Different than U.S. National Rate,20.7,29.3,94,,17.8,No Different than U.S. National Rate,14.4,21.8,120,
316,050090,SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,,,SONOMA,CA,95476,SONOMA,7079355000,15.5,No Different than U.S. National Rate,11.7,20.0,34,,9.4,No Different than U.S. National Rate,6.8,12.6,118,,10.8,No Different than U.S. National Rate,7.8,14.7,105,,19.8,No Different than U.S. National Rate,15.5,24.7,32,,21.6,No Different than U.S. National Rate,17.7,26.3,131,,16.2,No Different than U.S. National Rate,12.8,20.6,105,
318,050093,SAINT AGNES MEDICAL CENTER,1303 E HERNDON AVE,,,FRESNO,CA,93710,FRESNO,5594503000,13.7,No Different than U.S. National Rate,11.7,16.0,559,,12.6,No Different than U.S. National Rate,11.0,14.3,1161,,14.4,Worse than U.S. National Rate,12.7,16.2,1090,,19.8,No Different than U.S. National Rate,17.1,22.7,541,,24.8,No Different than U.S. National Rate,22.8,27.0,1348,,18.1,No Different than U.S. National Rate,16.0,20.3,1062,
320,050099,SAN ANTONIO COMMUNITY HOSPITAL,999 SAN BERNARDINO RD,,,UPLAND,CA,91786,SAN BERNARDINO,7149852811,17.2,No Different than U.S. National Rate,14.1,20.9,212,,10.4,No Different than U.S. National Rate,8.3,12.9,395,,11.1,No Different than U.S. National Rate,8.9,13.6,410,,19.1,No Different than U.S. National Rate,15.9,22.7,193,,23.2,No Different than U.S. National Rate,20.3,26.2,492,,16.4,No Different than U.S. National Rate,14.0,19.2,440,
321,050100,SHARP MEMORIAL HOSPITAL,7901 FROST ST,,,SAN DIEGO,CA,92123,SAN DIEGO,8589393400,13.8,No Different than U.S. National Rate,10.9,17.1,226,,12.4,No Different than U.S. National Rate,9.9,15.2,370,,12.9,No Different than U.S. National Rate,10.7,15.9,441,,20.8,No Different than U.S. National Rate,17.4,24.4,264,,25.8,No Different than U.S. National Rate,22.5,29.3,434,,17.1,No Different than U.S. National Rate,14.4,20.2,438,
322,050101,SUTTER SOLANO MEDICAL CENTER,300 HOSPITAL DR,,,VALLEJO,CA,94589,SOLANO,7075545280,15.8,No Different than U.S. National Rate,12.0,20.5,44,,11.2,No Different than U.S. National Rate,8.3,14.9,115,,12.6,No Different than U.S. National Rate,9.7,16.0,106,,19.7,No Different than U.S. National Rate,15.5,24.5,26,,23.1,No Different than U.S. National Rate,19.3,27.6,137,,17.2,No Different than U.S. National Rate,13.8,21.2,107,
323,050102,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,3865 JACKSON STREET,,,RIVERSIDE,CA,92503,RIVERSIDE,9516882211,16.9,No Different than U.S. National Rate,13.0,21.6,50,,11.0,No Different than U.S. National Rate,8.1,14.8,115,,12.2,No Different than U.S. National Rate,9.5,15.3,191,,19.7,No Different than U.S. National Rate,15.8,24.3,30,,23.7,No Different than U.S. National Rate,19.8,27.9,122,,20.4,No Different than U.S. National Rate,17.0,24.3,204,
324,050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,,,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,13.9,No Different than U.S. National Rate,10.7,17.8,129,,8.7,Better than U.S. National Rate,6.5,11.3,258,,9.3,No Different than U.S. National Rate,7.2,12.0,210,,21.2,No Different than U.S. National Rate,17.6,25.4,130,,25.3,No Different than U.S. National Rate,21.9,29.0,325,,18.0,No Different than U.S. National Rate,14.9,21.4,217,
325,050104,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,,,LYNWOOD,CA,90262,LOS ANGELES,3109008900,13.6,No Different than U.S. National Rate,10.2,17.8,73,,8.6,Better than U.S. National Rate,6.5,11.2,255,,9.9,No Different than U.S. National Rate,7.2,13.3,98,,18.8,No Different than U.S. National Rate,15.0,22.9,68,,23.3,No Different than U.S. National Rate,20.2,26.8,324,,18.1,No Different than U.S. National Rate,14.7,22.0,104,
326,050107,MARIAN REGIONAL MEDICAL CENTER,1400 E CHURCH ST,,,SANTA MARIA,CA,93454,SANTA BARBARA,8057393000,18.4,No Different than U.S. National Rate,15.1,22.2,186,,13.9,No Different than U.S. National Rate,11.2,17.3,265,,13.4,No Different than U.S. National Rate,10.5,16.9,259,,18.5,No Different than U.S. National Rate,15.3,22.5,164,,24.1,No Different than U.S. National Rate,20.7,27.9,288,,17.2,No Different than U.S. National Rate,14.2,20.5,270,
327,050108,SUTTER GENERAL HOSPITAL,2801 L STREET,,,SACRAMENTO,CA,95816,SACRAMENTO,9167338999,14.9,No Different than U.S. National Rate,12.1,18.4,285,,10.4,No Different than U.S. National Rate,8.4,12.8,385,,10.4,No Different than U.S. National Rate,8.2,12.8,380,,17.4,No Different than U.S. National Rate,14.7,20.5,379,,23.2,No Different than U.S. National Rate,20.4,26.3,515,,17.6,No Different than U.S. National Rate,15.0,20.7,432,
328,050110,LOMPOC VALLEY MEDICAL CENTER,1515 E OCEAN AVENUE,,,LOMPOC,CA,93436,SANTA BARBARA,8057373300,15.9,No Different than U.S. National Rate,12.1,20.3,27,,12.6,No Different than U.S. National Rate,9.3,16.6,114,,17.0,Worse than U.S. National Rate,13.3,21.3,163,,Not Available,Number of Cases Too Small,Not Available,Not Available,18,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.0,No Different than U.S. National Rate,20.6,29.9,116,,16.4,No Different than U.S. National Rate,13.0,20.6,144,
